latitude,longitude,datetime
50.820995872,-1.313094121,2018-08-29T15:17:02.207893
50.821001551,-1.313094121,2018-08-29T15:17:03.212278
50.821001551,-1.313094121,2018-08-29T15:17:04.213973
50.821008517,-1.313094446,2018-08-29T15:17:05.215311
50.821008517,-1.313094446,2018-08-29T15:17:06.220172
50.821008517,-1.313094446,2018-08-29T15:17:07.221572
50.821014196,-1.313094446,2018-08-29T15:17:08.223776
50.821014196,-1.313094446,2018-08-29T15:17:09.226229
50.821021322,-1.313080584,2018-08-29T15:17:10.229031
50.821021322,-1.313080584,2018-08-29T15:17:11.232660
50.821021322,-1.313080584,2018-08-29T15:17:12.236599
50.821027001,-1.313080584,2018-08-29T15:17:13.238581
50.821027001,-1.313080584,2018-08-29T15:17:14.240557
50.821033967,-1.313080909,2018-08-29T15:17:15.242664
50.821033967,-1.313080909,2018-08-29T15:17:16.247098
50.821033967,-1.313080909,2018-08-29T15:17:17.248497
50.821039805,-1.313066722,2018-08-29T15:17:18.250658
50.821046772,-1.313067048,2018-08-29T15:17:19.252343
50.821046772,-1.313067048,2018-08-29T15:17:20.254169
50.821046772,-1.313067048,2018-08-29T15:17:21.258012
50.821046931,-1.31305286,2018-08-29T15:17:22.259557
50.821046931,-1.31305286,2018-08-29T15:17:23.261161
